Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
9468,8881,8931,1048,932,1143
8863,8780,8787,1020,1001,996
8740,8450,8782,1021,1163,1019
9123,8918,8836,1118,1112,1087
8970,8765,8550,1215,1012,987
8501,8778,8544,1013,976,982
8778,8567,8803,1279,1161,1071
8717,8472,8776,1009,1028,1036
8576,8774,8599,1165,1003,988
8460,8495,8750,955,929,1209
8705,8935,8851,1026,1013,1074
8729,8755,8889,1144,1016,971
8605,8521,8974,960,1008,1220
8488,8585,8728,1000,1064,1020
8644,8786,8851,1184,1037,1092
8894,8695,8531,1339,988,977
8557,8829,8754,1051,979,1038
8726,8922,8659,1071,1011,1021
8628,8706,8663,1020,978,986
8692,8855,8714,1037,1017,984
8370,8585,8603,1333,1091,1064
8651,8654,9201,979,1207,1073
8462,8539,8465,1008,1003,1032
8590,8572,8479,1004,986,975
8711,8481,8668,997,1021,980
8608,8443,8540,955,1032,991
8509,8526,8520,1005,938,945
8535,8636,8807,950,978,987
8587,8830,8658,987,961,1070
8427,8482,8610,932,981,994
8690,8676,8588,1143,1015,1035
8570,8767,8615,959,1095,1043
8743,8683,8557,1022,1030,1008
8682,8752,8791,1044,1048,1036
8669,8870,8817,1004,1048,977
8924,8845,9143,994,986,1040
8487,8662,8623,1083,1055,1041
8578,8579,8641,1189,1024,1154
8632,8567,8483,987,1054,976
8625,9271,8803,1014,1006,1262
9356,8924,8920,1199,1081,931
9020,8617,8967,955,999,1013
8784,8790,8591,962,1001,1199
8500,8650,8427,941,969,963
8676,8615,8665,948,967,1122
8726,9041,8651,1149,948,971
8674,8693,8583,971,1021,1044
8496,8478,9115,1027,967,969
8857,8642,8936,1055,1056,1002
8604,8623,8664,996,1036,1022
8938,8978,8830,962,1085,1083
8871,8865,8700,1032,1004,1044
8884,8649,8733,1087,1252,1032
8618,8608,8712,974,1209,1182
8536,8527,8775,1125,994,1077
8693,8746,8903,1134,990,958
8582,8732,8449,963,1001,993
8483,8516,8399,929,996,950
9374,8935,8725,970,985,990
8685,8701,9097,1085,1026,1021
8623,8652,8732,999,1027,1144
8593,8805,8842,961,978,1055
8508,8827,8575,1023,983,1007
8728,8651,8640,951,1155,993
8587,8617,8920,1153,1228,1049
8873,8522,8637,1103,1066,999
8609,8686,8559,953,1022,1110
8653,8786,8638,1113,994,1095
8680,9072,8833,1204,997,1003
8534,8827,8790,927,988,1009
8428,8556,8666,1058,995,1230
8782,8763,8580,1136,1003,1075
8540,8774,8757,1069,1071,1092
8974,8940,8528,1141,977,994
8776,8473,8697,1019,1009,1018
8750,8872,8723,1064,972,1022
8526,8652,8664,1124,1050,1096
8976,8739,8774,1142,1043,1023
8798,8819,8615,1138,1055,1019
8578,8709,8721,1340,980,1254
8556,8602,8793,1081,1076,1219
8754,8623,8470,988,1149,981
8642,8642,8606,1162,992,995
8848,8695,8462,1226,1101,1064
8656,8970,8469,1026,1118,988
8706,8673,8685,970,1043,1011
8723,8635,8566,943,1139,977
8445,8618,8713,946,1078,1039
8857,8966,8665,1192,990,970
8420,8453,8626,1195,994,932
8903,8684,8553,930,1075,1022
8619,8793,8476,997,981,1138
8679,8537,8455,1164,996,958
8575,8539,8748,1112,1191,1020
9044,8760,8738,1009,980,944
8357,8713,9045,1139,954,1026
8616,8517,8764,1100,985,946
8797,8451,8652,1205,960,992
8534,8563,8860,946,998,1000
8446,8786,8650,977,1084,970
