Mult,MultNoRelin,Relin
8477,2909,5541
8422,3133,5640
8613,3140,5594
8692,3064,5528
8495,2939,5910
8665,3005,5446
8548,3014,5639
7853,3126,5723
9035,3097,5511
8632,2921,5701
7938,3078,5768
8700,2955,5668
8327,3026,6057
8436,2978,5722
9122,3076,5514
8376,3201,5768
8467,2860,5802
8833,2942,5354
8283,3211,6151
8420,3029,5746
8958,2907,5795
8561,3197,5088
9331,3254,5492
8752,2943,5797
8629,2901,5960
8646,2973,5724
8991,2935,5711
8073,2933,5540
8741,2894,6909
8138,2859,5678
8876,2938,5619
8591,2874,5334
8669,2992,5832
8947,3010,6054
8470,3041,5771
8457,3278,6170
9097,2886,6216
8422,3088,5643
8620,3180,5789
8630,3040,5703
8769,3128,5735
8387,2977,5710
8944,2832,5866
9029,3725,6048
8833,2957,5555
8893,3039,5764
8265,2912,5429
8819,3152,5813
8686,2876,5648
9006,2862,5807
9188,3255,6065
8859,2981,6352
8821,3155,5917
8553,2889,6012
8367,2912,5751
8160,3029,5904
8418,2981,6083
8954,3159,5763
9771,3139,6085
8215,2882,5487
8144,2880,5474
8408,2912,5800
7846,2846,5538
9105,3341,6043
9079,3268,6888
9459,3459,6239
10044,3122,6617
9585,3481,6015
9702,3110,5775
8174,2837,5274
8472,3023,6000
8912,3011,5702
9113,2971,5864
8433,3211,5571
8855,3005,5903
8677,2979,5999
8756,2959,5906
8216,3166,5906
8313,2906,5760
8656,2942,6046
8617,3126,5959
9146,3108,6139
8917,3114,6110
8660,2957,6029
8658,2862,5619
8013,3113,5401
8752,2941,6181
9035,2992,5573
8664,2892,5787
8738,3063,5806
8964,3196,6028
8843,3158,5684
8750,3013,5805
8794,2883,5731
9108,3028,5800
8282,3123,5373
8563,2887,5794
8971,2900,5971
8547,3043,5238
8776,3035,5663
