Encrypt, Decrypt
136942,4
133428,3
133378,4
133077,3
133456,3
133138,3
132448,3
133665,3
135323,3
132077,3
133109,3
131796,3
131943,3
131623,3
130436,3
130062,2
130762,3
129768,3
131332,2
129845,3
130377,3
129794,3
130252,3
129759,2
129947,2
131847,3
129914,2
130028,3
130257,3
129905,3
130124,2
130314,2
130209,3
130394,3
130735,4
129357,3
129229,3
130423,3
129637,3
128409,2
129537,2
129814,2
129071,2
130075,2
127595,2
130365,3
128810,2
128445,3
129656,3
129706,3
128445,2
131532,5
133493,4
132833,4
131052,3
130727,3
130823,3
136827,3
134471,3
132915,3
130886,3
130565,4
133553,3
131409,3
129731,3
141435,3
134265,3
136270,4
135465,3
134579,3
133639,3
131340,3
131783,3
129395,3
130342,3
129776,3
128781,3
129818,2
129658,3
129671,3
128408,2
130087,3
129318,3
128657,3
128987,2
129009,2
127425,2
129354,3
128669,3
128963,3
128589,3
128657,2
128292,2
128240,3
128367,3
128925,3
129358,3
129038,3
129875,3
128614,3
